,x,y,z,Vx,Vy,Vz,M
Sun,-2.63E+07,1.45E+08,3.03E+04,-2.98E+01,-5.22E+00,-1.01E-04,1.99E+30
Mercury,-2.21E+07,-6.68E+07,-3.46E+06,3.67E+01,-1.23E+01,-4.37E+00,3.30E+23
Venus,-1.09E+08,-3.79E+06,6.19E+06,8.99E-01,-3.52E+01,-5.32E-01,4.87E+24
Earth,-2.63E+07,1.45E+08,3.03E+04,-2.98E+01,-5.22E+00,-1.01E-04,6.05E+24
Mars,2.07E+08,-3.56E+06,-5.15E+06,1.30E+00,2.63E+01,5.19E-01,6.42E+23
Jupiter,5.98E+08,4.39E+08,-1.52E+07,-7.89E+00,1.12E+01,1.31E-01,1.90E+27
Saturn,9.58E+08,9.82E+08,-5.52E+07,-7.42E+00,6.73E+00,1.78E-01,5.68E+26
Uranus,2.16E+09,-2.06E+09,-3.56E+07,4.65E+00,4.61E+00,-4.30E-02,8.68E+25
Neptune,2.51E+09,-3.74E+09,1.91E+07,4.48E+00,3.06E+00,-1.67E-01,1.02E+26
